cen2010_zcta_dp.htm:9 Uncaught ReferenceError: stLight is not defined
    at cen2010_zcta_dp.htm:9
cen2010_zcta_dp.htm:883 A parser-blocking, cross site (i.e. different eTLD+1) script, http://www.google-analytics.com/ga.js, is invoked via document.write. The network request for this script MAY be blocked by the browser in this or a future page load due to poor network connectivity. If blocked in this page load, it will be confirmed in a subsequent console message. See https://www.chromestatus.com/feature/5718547946799104 for more details.
(anonymous) @ cen2010_zcta_dp.htm:883
cen2010_zcta_dp.htm:883 A parser-blocking, cross site (i.e. different eTLD+1) script, http://www.google-analytics.com/ga.js, is invoked via document.write. The network request for this script MAY be blocked by the browser in this or a future page load due to poor network connectivity. If blocked in this page load, it will be confirmed in a subsequent console message. See https://www.chromestatus.com/feature/5718547946799104 for more details.
(anonymous) @ cen2010_zcta_dp.htm:883
for(i = 0 ; i < 33120 ; i++){
    console.log(obj.getCellValue(0, i) + "/" + obj.getCellValue(1, i) + "/" + obj.getCellValue(2, i) + "/" + obj.getCellValue(7, i) + "/" + obj.getCellValue(8, i))
}
VM78:2 00601/166659789/799296/18.180556/-66.749961
VM78:2 00602/79288158/4446273/18.362268/-67.17613
VM78:2 00603/81880442/183425/18.455183/-67.119887
VM78:2 00606/109580061/12487/18.158345/-66.932911
VM78:2 00610/93021467/4172001/18.290955/-67.125868
VM78:2 00612/175106243/9809163/18.402239/-66.7114
VM78:2 00616/29870473/149147/18.420413/-66.671979
VM78:2 00617/39347158/3987969/18.445146/-66.559696
VM78:2 00622/75077028/1694917/17.991245/-67.153993
VM78:2 00623/98367847/1633540/18.083435/-67.153877
VM78:2 00624/111791516/2524878/18.063275/-66.715966
VM78:2 00627/120058334/3507026/18.41503/-66.861879
VM78:2 00631/10414662/669970/18.190607/-66.832041
VM78:2 00637/89226022/25323/18.076713/-66.947389
VM78:2 00638/171055117/493335/18.291088/-66.513306
VM78:2 00641/242237480/3466212/18.262962/-66.71402
VM78:2 00646/53611823/3321248/18.433167/-66.285941
VM78:2 00647/39379804/8013314/17.963614/-66.947127
VM78:2 00650/79052810/557181/18.349416/-66.578079
VM78:2 00652/17906137/16436/18.451935/-66.603113
VM78:2 00653/39477273/5203941/17.985452/-66.888933
VM78:2 00656/83968290/4356121/18.053539/-66.792931
VM78:2 00659/108211415/3039180/18.407221/-66.809008
VM78:2 00660/29380814/486/18.134645/-67.116158
VM78:2 00662/114907988/5341043/18.467481/-67.015974
VM78:2 00664/117897373/3405/18.213419/-66.589613
VM78:2 00667/156201164/28264208/18.003422/-67.03581
VM78:2 00669/159419203/168344/18.270899/-66.866375
VM78:2 00670/118025360/357819/18.236832/-66.990114
VM78:2 00674/116400264/6903390/18.422908/-66.489337
VM78:2 00676/130636635/56483/18.377751/-67.080344
VM78:2 00677/37137111/3594951/18.33256/-67.227006
VM78:2 00678/68274095/3796687/18.434099/-66.927384
VM78:2 00680/166248984/19828643/18.181938/-67.133802
VM78:2 00682/37348163/6330100/18.221443/-67.156062
VM78:2 00683/135168308/29361/18.1078/-67.037263
VM78:2 00685/200808224/2058239/18.332927/-66.959875
VM78:2 00687/100675764/140026/18.318386/-66.418034
VM78:2 00688/82401202/77467/18.382264/-66.626438
VM78:2 00690/7291346/12393/18.49551/-67.098671
VM78:2 00692/69307906/1999296/18.410187/-66.336556
VM78:2 00693/101838924/3653903/18.423023/-66.39723
VM78:2 00694/2043548/1957116/18.48237/-66.391079
VM78:2 00698/180309254/7761848/18.064848/-66.856319
VM78:2 00703/76855070/28384/18.248401/-66.130662
VM78:2 00704/12627769/1773833/17.96577/-66.219555
VM78:2 00705/82748292/72306/18.128961/-66.266683
VM78:2 00707/54561503/3816670/18.013648/-65.920712
VM78:2 00714/37859151/42765/18.000198/-66.042943
VM78:2 00715/20434129/150234/18.011233/-66.560065
VM78:2 00716/22081777/7967534/17.990567/-66.607542
VM78:2 00717/5417561/109099/18.003222/-66.614037
VM78:2 00718/117172329/3457285/18.231988/-65.759623
VM78:2 00719/72527843/898356/18.289927/-66.25344
VM78:2 00720/154368018/286519/18.217946/-66.428076
VM78:2 00723/119554076/1319657/18.043822/-66.015578
VM78:2 00725/109190812/1190612/18.218819/-66.042375
VM78:2 00727/55827071/26963/18.215308/-66.073565
VM78:2 00728/40524719/21618806/17.989853/-66.664116
VM78:2 00729/87958918/364682/18.329829/-65.885142
VM78:2 00730/16850026/123834/18.030831/-66.616838
VM78:2 00731/123332268/3082106/18.108039/-66.634653
VM78:2 00735/60362550/1842364/18.252604/-65.682494
VM78:2 00736/142701655/79564/18.103624/-66.151667
VM78:2 00738/76243980/78712514/18.304458/-65.698711
VM78:2 00739/81792808/1113746/18.177266/-66.160577
VM78:2 00740/1103423/40886/18.331159/-65.63412
VM78:2 00741/6121151/2792707/18.163746/-65.754021
VM78:2 00745/133676216/6155023/18.35284/-65.817813
VM78:2 00751/121664561/29378177/18.001317/-66.252183
VM78:2 00754/132164302/241740/18.14713/-65.976289
VM78:2 00757/77246859/5609947/17.995441/-66.391334
VM78:2 00765/49309561/1749411/18.130096/-65.439369
VM78:2 00766/103701762/3739022/18.133196/-66.476916
VM78:2 00767/143501366/6805011/18.069413/-65.89649
VM78:2 00769/198168393/38999/18.1038/-66.357586
VM78:2 00771/87591047/32514/18.187201/-65.871196
VM78:2 00772/37975532/13639704/18.438969/-65.905174
VM78:2 00773/62964008/2572484/18.343799/-65.726378
VM78:2 00775/27344697/33437932/18.327485/-65.295977
VM78:2 00777/68844419/327723/18.224133/-65.908542
VM78:2 00778/76776403/1116806/18.263023/-65.979078
VM78:2 00780/52032587/838321/18.102834/-66.568105
VM78:2 00782/69008763/319734/18.225708/-66.221633
VM78:2 00783/108382318/16292/18.30391/-66.326179
VM78:2 00784/143887987/16278766/18.010721/-66.133613
VM78:2 00786/666250/0/18.155424/-66.229907
VM78:2 00791/95711037/2868576/18.136752/-65.821487
VM78:2 00794/91419799/77809/18.199014/-66.309782
VM78:2 00795/119811901/958123/18.060532/-66.499473
VM78:2 00901/2534091/30548/18.465424/-66.104724
VM78:2 00906/8247/0/18.46446/-66.094995
VM78:2 00907/3132947/347421/18.452679/-66.078113
VM78:2 00909/1575598/49304/18.44161/-66.067132
VM78:2 00911/1245504/0/18.451128/-66.056223
VM78:2 00912/854044/0/18.445289/-66.060139
VM78:2 00913/843188/0/18.44997/-66.042664
VM78:2 00915/3601480/820884/18.437179/-66.045571
VM78:2 00917/3360017/46991/18.420673/-66.050105
VM78:2 00918/5520556/101247/18.421022/-66.065789
VM78:2 00920/7331380/135936/18.414292/-66.088042
VM78:2 00921/6931388/0/18.392273/-66.088552
VM78:2 00923/5283986/7303/18.409307/-66.038888
VM78:2 00924/12143485/1620/18.399196/-66.012452
VM78:2 00925/1158082/0/18.400296/-66.050602
VM78:2 00926/62575083/1052384/18.3454/-66.051545
VM78:2 00927/6804165/5831/18.387953/-66.072098
VM78:2 00934/1940428/26786/18.411313/-66.124234
VM78:2 00936/417955/0/18.395463/-66.073773
VM78:2 00949/45604190/2130451/18.430695/-66.212833
VM78:2 00950/6204986/1989345/18.463693/-66.234559
VM78:2 00951/1075640/29541/18.42753/-66.253789
